   -1.52349 1.00224   -1.52346 1.00224   -1.52342 1.00224   -1.52339 1.00225
   -1.52335 1.00225   -1.52332 1.00225   -1.52328 1.00226   -1.52325 1.00226
   -1.52321 1.00226   -1.52318 1.00227   -1.52314 1.00227   -1.52311 1.00227
   -1.52307 1.00228   -1.52304 1.00228   -1.52300 1.00228   -1.52296 1.00229
   -1.52293 1.00229   -1.52289 1.00229   -1.52286 1.00230   -1.52282 1.00230
   -1.52279 1.00230   -1.52275 1.00231   -1.52271 1.00231   -1.52268 1.00231
   -1.52264 1.00232   -1.52260 1.00232   -1.52257 1.00232   -1.52253 1.00233
   -1.52250 1.00233   -1.52246 1.00233   -1.52242 1.00234   -1.52239 1.00234
   -1.52235 1.00235   -1.52231 1.00235   -1.52228 1.00235   -1.52224 1.00236
   -1.52220 1.00236   -1.52217 1.00236   -1.52213 1.00237   -1.52209 1.00237
   -1.52205 1.00237   -1.52202 1.00238   -1.52198 1.00238   -1.52194 1.00238
   -1.52191 1.00239   -1.52187 1.00239   -1.52183 1.00240   -1.52179 1.00240
   -1.52176 1.00240   -1.52172 1.00241   -1.52168 1.00241   -1.52164 1.00241
   -1.52161 1.00242   -1.52157 1.00242   -1.52153 1.00243   -1.52149 1.00243
   -1.52145 1.00243   -1.52142 1.00244   -1.52138 1.00244   -1.52134 1.00244
   -1.52130 1.00245   -1.52126 1.00245   -1.52122 1.00246   -1.52119 1.00246
   -1.52115 1.00246   -1.52111 1.00247   -1.52107 1.00247   -1.52103 1.00247
   -1.52099 1.00248   -1.52095 1.00248   -1.52092 1.00249   -1.52088 1.00249
   -1.52084 1.00249   -1.52080 1.00250   -1.52076 1.00250   -1.52072 1.00251
   -1.52068 1.00251   -1.52064 1.00251   -1.52060 1.00252   -1.52056 1.00252
   -1.52052 1.00253   -1.52048 1.00253   -1.52045 1.00253   -1.52041 1.00254
   -1.52037 1.00254   -1.52033 1.00255   -1.52029 1.00255   -1.52025 1.00255
   -1.52021 1.00256   -1.52017 1.00256   -1.52013 1.00257   -1.52009 1.00257
   -1.52005 1.00257   -1.52001 1.00258   -1.51997 1.00258   -1.51993 1.00259
   -1.51988 1.00259   -1.51984 1.00259   -1.51980 1.00260   -1.51976 1.00260
   -1.51972 1.00261   -1.51968 1.00261   -1.51964 1.00261   -1.51960 1.00262
   -1.51956 1.00262   -1.51952 1.00263   -1.51948 1.00263   -1.51944 1.00264
   -1.51939 1.00264   -1.51935 1.00264   -1.51931 1.00265   -1.51927 1.00265
   -1.51923 1.00266   -1.51919 1.00266   -1.51915 1.00267   -1.51910 1.00267
   -1.51906 1.00267   -1.51902 1.00268   -1.51898 1.00268   -1.51894 1.00269
   -1.51889 1.00269   -1.51885 1.00270   -1.51881 1.00270   -1.51877 1.00270
   -1.51873 1.00271   -1.51868 1.00271   -1.51864 1.00272   -1.51860 1.00272
   -1.51856 1.00273   -1.51851 1.00273   -1.51847 1.00274   -1.51843 1.00274
   -1.51839 1.00274   -1.51834 1.00275   -1.51830 1.00275   -1.51826 1.00276
   -1.51821 1.00276   -1.51817 1.00277   -1.51813 1.00277   -1.51808 1.00278
   -1.51804 1.00278   -1.51800 1.00279   -1.51795 1.00279   -1.51791 1.00279
   -1.51787 1.00280   -1.51782 1.00280   -1.51778 1.00281   -1.51773 1.00281
   -1.51769 1.00282   -1.51765 1.00282   -1.51760 1.00283   -1.51756 1.00283
   -1.51751 1.00284   -1.51747 1.00284   -1.51742 1.00285   -1.51738 1.00285
   -1.51734 1.00286   -1.51729 1.00286   -1.51725 1.00286   -1.51720 1.00287
   -1.51716 1.00287   -1.51711 1.00288   -1.51707 1.00288   -1.51702 1.00289
   -1.51698 1.00289   -1.51693 1.00290   -1.51689 1.00290   -1.51684 1.00291
   -1.51679 1.00291   -1.51675 1.00292   -1.51670 1.00292   -1.51666 1.00293
